driverId,url,givenName,familyName,dateOfBirth,nationality,,driverId,givenName,familyName,
perez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,Sergio,Pérez,26/01/1990,Mexican,,,,,
raikkonen,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,Kimi,Räikkönen,17/10/1979,Finnish,,,,,
ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,Daniel,Ricciardo,01/07/1989,Australian,,,,,
sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,Carlos,Sainz,01/09/1994,Spanish,,,,,
sirotkin,http://en.wikipedia.org/wiki/Sergey_Sirotkin_(racing_driver),Sergey,Sirotkin,27/08/1995,Russian,,,,,
stroll,http://en.wikipedia.org/wiki/Lance_Stroll,Lance,Stroll,29/10/1998,Canadian,,,,,
vandoorne,http://en.wikipedia.org/wiki/Stoffel_Vandoorne,Stoffel,Vandoorne,26/03/1992,Belgian,,,,,
max_verstappen,http://en.wikipedia.org/wiki/Max_Verstappen,Max,Verstappen,30/09/1997,Dutch,,,,,
vettel,http://en.wikipedia.org/wiki/Sebastian_Vettel,Sebastian,Vettel,03/07/1987,German,,,,,
albon,http://en.wikipedia.org/wiki/Alexander_Albon,Alexander,Albon,23/03/1996,Thai,,,,,
bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,Valtteri,Bottas,28/08/1989,Finnish,,,,,
gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,Pierre,Gasly,07/02/1996,French,,,,,
giovinazzi,http://en.wikipedia.org/wiki/Antonio_Giovinazzi,Antonio,Giovinazzi,14/12/1993,Italian,,,,,
grosjean,http://en.wikipedia.org/wiki/Romain_Grosjean,Romain,Grosjean,17/04/1986,French,,,,,
hamilton,http://en.wikipedia.org/wiki/Lewis_Hamilton,Lewis,Hamilton,07/01/1985,British,,,,,
hulkenberg,http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg,Nico,Hülkenberg,19/08/1987,German,,,,,
kubica,http://en.wikipedia.org/wiki/Robert_Kubica,Robert,Kubica,07/12/1984,Polish,,,,,
kvyat,http://en.wikipedia.org/wiki/Daniil_Kvyat,Daniil,Kvyat,26/04/1994,Russian,,,,,
leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,Charles,Leclerc,16/10/1997,Monegasque,,,,,
kevin_magnussen,http://en.wikipedia.org/wiki/Kevin_Magnussen,Kevin,Magnussen,05/10/1992,Danish,,,,,
norris,http://en.wikipedia.org/wiki/Lando_Norris,Lando,Norris,13/11/1999,British,,,,,
perez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,Sergio,Pérez,26/01/1990,Mexican,,,,,
raikkonen,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,Kimi,Räikkönen,17/10/1979,Finnish,,,,,
ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,Daniel,Ricciardo,01/07/1989,Australian,,,,,
russell,http://en.wikipedia.org/wiki/George_Russell_%28racing_driver%29,George,Russell,15/02/1998,British,,,,,
sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,Carlos,Sainz,01/09/1994,Spanish,,,,,
stroll,http://en.wikipedia.org/wiki/Lance_Stroll,Lance,Stroll,29/10/1998,Canadian,,,,,
max_verstappen,http://en.wikipedia.org/wiki/Max_Verstappen,Max,Verstappen,30/09/1997,Dutch,,,,,
vettel,http://en.wikipedia.org/wiki/Sebastian_Vettel,Sebastian,Vettel,03/07/1987,German,,,,,
aitken,http://en.wikipedia.org/wiki/Jack_Aitken,Jack,Aitken,23/09/1995,British,,,,,
albon,http://en.wikipedia.org/wiki/Alexander_Albon,Alexander,Albon,23/03/1996,Thai,,,,,
bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,Valtteri,Bottas,28/08/1989,Finnish,,,,,
pietro_fittipaldi,http://en.wikipedia.org/wiki/Pietro_Fittipaldi,Pietro,Fittipaldi,25/06/1996,Brazilian,,,,,
gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,Pierre,Gasly,07/02/1996,French,,,,,
giovinazzi,http://en.wikipedia.org/wiki/Antonio_Giovinazzi,Antonio,Giovinazzi,14/12/1993,Italian,,,,,
grosjean,http://en.wikipedia.org/wiki/Romain_Grosjean,Romain,Grosjean,17/04/1986,French,,,,,
hamilton,http://en.wikipedia.org/wiki/Lewis_Hamilton,Lewis,Hamilton,07/01/1985,British,,,,,
hulkenberg,http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg,Nico,Hülkenberg,19/08/1987,German,,,,,
kvyat,http://en.wikipedia.org/wiki/Daniil_Kvyat,Daniil,Kvyat,26/04/1994,Russian,,,,,
latifi,http://en.wikipedia.org/wiki/Nicholas_Latifi,Nicholas,Latifi,29/06/1995,Canadian,,,,,
leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,Charles,Leclerc,16/10/1997,Monegasque,,,,,
kevin_magnussen,http://en.wikipedia.org/wiki/Kevin_Magnussen,Kevin,Magnussen,05/10/1992,Danish,,,,,
norris,http://en.wikipedia.org/wiki/Lando_Norris,Lando,Norris,13/11/1999,British,,,,,
ocon,http://en.wikipedia.org/wiki/Esteban_Ocon,Esteban,Ocon,17/09/1996,French,,,,,
perez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,Sergio,Pérez,26/01/1990,Mexican,,,,,
raikkonen,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,Kimi,Räikkönen,17/10/1979,Finnish,,,,,
ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,Daniel,Ricciardo,01/07/1989,Australian,,,,,
russell,http://en.wikipedia.org/wiki/George_Russell_%28racing_driver%29,George,Russell,15/02/1998,British,,,,,
sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,Carlos,Sainz,01/09/1994,Spanish,,,,,
stroll,http://en.wikipedia.org/wiki/Lance_Stroll,Lance,Stroll,29/10/1998,Canadian,,,,,
max_verstappen,http://en.wikipedia.org/wiki/Max_Verstappen,Max,Verstappen,30/09/1997,Dutch,,,,,
vettel,http://en.wikipedia.org/wiki/Sebastian_Vettel,Sebastian,Vettel,03/07/1987,German,,,,,
alonso,http://en.wikipedia.org/wiki/Fernando_Alonso,Fernando,Alonso,29/07/1981,Spanish,,,,,
bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,Valtteri,Bottas,28/08/1989,Finnish,,,,,
gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,Pierre,Gasly,07/02/1996,French,,,,,
giovinazzi,http://en.wikipedia.org/wiki/Antonio_Giovinazzi,Antonio,Giovinazzi,14/12/1993,Italian,,,,,
hamilton,http://en.wikipedia.org/wiki/Lewis_Hamilton,Lewis,Hamilton,07/01/1985,British,,,,,
kubica,http://en.wikipedia.org/wiki/Robert_Kubica,Robert,Kubica,07/12/1984,Polish,,,,,
latifi,http://en.wikipedia.org/wiki/Nicholas_Latifi,Nicholas,Latifi,29/06/1995,Canadian,,,,,
leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,Charles,Leclerc,16/10/1997,Monegasque,,,,,
mazepin,http://en.wikipedia.org/wiki/Nikita_Mazepin,Nikita,Mazepin,02/03/1999,Russian,,,,,
norris,http://en.wikipedia.org/wiki/Lando_Norris,Lando,Norris,13/11/1999,British,,,,,
ocon,http://en.wikipedia.org/wiki/Esteban_Ocon,Esteban,Ocon,17/09/1996,French,,,,,
perez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,Sergio,Pérez,26/01/1990,Mexican,,,,,
raikkonen,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,Kimi,Räikkönen,17/10/1979,Finnish,,,,,
ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,Daniel,Ricciardo,01/07/1989,Australian,,,,,
russell,http://en.wikipedia.org/wiki/George_Russell_%28racing_driver%29,George,Russell,15/02/1998,British,,,,,
sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,Carlos,Sainz,01/09/1994,Spanish,,,,,
mick_schumacher,http://en.wikipedia.org/wiki/Mick_Schumacher,Mick,Schumacher,22/03/1999,German,,,,,
stroll,http://en.wikipedia.org/wiki/Lance_Stroll,Lance,Stroll,29/10/1998,Canadian,,,,,
tsunoda,http://en.wikipedia.org/wiki/Yuki_Tsunoda,Yuki,Tsunoda,11/05/2000,Japanese,,,,,
max_verstappen,http://en.wikipedia.org/wiki/Max_Verstappen,Max,Verstappen,30/09/1997,Dutch,,,,,
vettel,http://en.wikipedia.org/wiki/Sebastian_Vettel,Sebastian,Vettel,03/07/1987,German,,,,,
albon,http://en.wikipedia.org/wiki/Alexander_Albon,Alexander,Albon,23/03/1996,Thai,,,,,
alonso,http://en.wikipedia.org/wiki/Fernando_Alonso,Fernando,Alonso,29/07/1981,Spanish,,,,,
bottas,http://en.wikipedia.org/wiki/Valtteri_Bottas,Valtteri,Bottas,28/08/1989,Finnish,,,,,
de_vries,http://en.wikipedia.org/wiki/Nyck_de_Vries,Nyck,de Vries,06/02/1995,Dutch,,,,,
gasly,http://en.wikipedia.org/wiki/Pierre_Gasly,Pierre,Gasly,07/02/1996,French,,,,,
hamilton,http://en.wikipedia.org/wiki/Lewis_Hamilton,Lewis,Hamilton,07/01/1985,British,,,,,
hulkenberg,http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg,Nico,Hülkenberg,19/08/1987,German,,,,,
latifi,http://en.wikipedia.org/wiki/Nicholas_Latifi,Nicholas,Latifi,29/06/1995,Canadian,,,,,
leclerc,http://en.wikipedia.org/wiki/Charles_Leclerc,Charles,Leclerc,16/10/1997,Monegasque,,,,,
kevin_magnussen,http://en.wikipedia.org/wiki/Kevin_Magnussen,Kevin,Magnussen,05/10/1992,Danish,,,,,
norris,http://en.wikipedia.org/wiki/Lando_Norris,Lando,Norris,13/11/1999,British,,,,,
ocon,http://en.wikipedia.org/wiki/Esteban_Ocon,Esteban,Ocon,17/09/1996,French,,,,,
perez,http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez,Sergio,Pérez,26/01/1990,Mexican,,,,,
ricciardo,http://en.wikipedia.org/wiki/Daniel_Ricciardo,Daniel,Ricciardo,01/07/1989,Australian,,,,,
russell,http://en.wikipedia.org/wiki/George_Russell_%28racing_driver%29,George,Russell,15/02/1998,British,,,,,
sainz,http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.,Carlos,Sainz,01/09/1994,Spanish,,,,,
mick_schumacher,http://en.wikipedia.org/wiki/Mick_Schumacher,Mick,Schumacher,22/03/1999,German,,,,,
stroll,http://en.wikipedia.org/wiki/Lance_Stroll,Lance,Stroll,29/10/1998,Canadian,,,,,
tsunoda,http://en.wikipedia.org/wiki/Yuki_Tsunoda,Yuki,Tsunoda,11/05/2000,Japanese,,,,,
max_verstappen,http://en.wikipedia.org/wiki/Max_Verstappen,Max,Verstappen,30/09/1997,Dutch,,,,,
vettel,http://en.wikipedia.org/wiki/Sebastian_Vettel,Sebastian,Vettel,03/07/1987,German,,,,,
zhou,http://en.wikipedia.org/wiki/Guanyu_Zhou,Guanyu,Zhou,30/05/1999,Chinese,,,,,
